,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
99,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(48, 139)","(103, 168)","(4, 139)","(7, 104)","(56, 139)","(103, 54)","(138, 64)","(114, 104)","(0, 104)","(16, 139)","(172, 69)","(103, 48)","(3, 104)","(72, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(27, 104)","(41, 139)","(172, 34)","(46, 34)","(138, 172)","(103, 120)","(68, 138)","(90, 34)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(33, 43)","(172, 69)","(103, 164)","(11, 104)","(109, 104)","(12, 139)","(172, 34)","(103, 58)","(86, 139)","(70, 69)"
100,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(48, 139)","(103, 168)","(4, 139)","(7, 104)","(54, 139)","(103, 54)","(138, 65)","(113, 104)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(70, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(26, 104)","(39, 139)","(172, 34)","(48, 34)","(138, 172)","(103, 121)","(68, 138)","(92, 34)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(33, 43)","(172, 69)","(103, 164)","(11, 104)","(109, 104)","(12, 139)","(172, 34)","(103, 58)","(85, 139)","(70, 69)"
101,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(48, 139)","(103, 168)","(4, 139)","(7, 104)","(53, 139)","(103, 54)","(138, 66)","(113, 104)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(69, 138)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(26, 104)","(38, 139)","(172, 34)","(48, 34)","(138, 172)","(103, 122)","(68, 138)","(92, 34)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(33, 42)","(172, 69)","(103, 164)","(11, 104)","(109, 104)","(12, 139)","(172, 34)","(103, 58)","(83, 139)","(70, 69)"
102,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(47, 139)","(103, 168)","(4, 139)","(7, 104)","(52, 139)","(103, 54)","(138, 68)","(113, 104)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(69, 137)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(26, 104)","(37, 139)","(172, 34)","(50, 34)","(138, 172)","(103, 124)","(68, 138)","(93, 34)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(33, 41)","(172, 69)","(103, 164)","(11, 104)","(108, 104)","(12, 139)","(172, 34)","(103, 58)","(83, 139)","(70, 69)"
103,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(46, 139)","(103, 168)","(4, 139)","(7, 104)","(51, 139)","(103, 54)","(138, 70)","(113, 104)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(68, 138)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(24, 104)","(36, 139)","(172, 34)","(51, 34)","(138, 172)","(103, 125)","(67, 139)","(94, 34)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(33, 39)","(172, 69)","(103, 164)","(11, 104)","(106, 104)","(12, 139)","(172, 34)","(103, 58)","(83, 139)","(70, 69)"
104,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(46, 139)","(103, 168)","(4, 139)","(7, 104)","(51, 139)","(103, 54)","(138, 71)","(112, 104)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(68, 137)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(22, 104)","(36, 139)","(172, 34)","(52, 34)","(138, 172)","(103, 125)","(67, 139)","(95, 34)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(33, 38)","(172, 69)","(103, 164)","(11, 104)","(105, 104)","(12, 139)","(172, 34)","(103, 58)","(82, 139)","(70, 69)"
105,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(45, 139)","(103, 168)","(4, 139)","(7, 104)","(50, 139)","(103, 54)","(138, 71)","(111, 104)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(68, 138)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(21, 104)","(36, 139)","(172, 34)","(53, 34)","(138, 172)","(103, 126)","(67, 139)","(96, 34)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(33, 37)","(172, 69)","(103, 164)","(11, 104)","(103, 104)","(12, 139)","(172, 34)","(103, 58)","(81, 139)","(70, 69)"
106,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(44, 139)","(103, 168)","(4, 139)","(7, 104)","(49, 139)","(103, 54)","(138, 73)","(109, 104)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(66, 138)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(21, 104)","(35, 139)","(172, 34)","(54, 34)","(138, 172)","(103, 128)","(66, 139)","(96, 34)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(33, 37)","(172, 69)","(103, 164)","(11, 104)","(102, 104)","(12, 139)","(172, 34)","(103, 58)","(81, 139)","(70, 69)"
107,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(43, 139)","(103, 168)","(4, 139)","(7, 104)","(49, 139)","(103, 54)","(138, 75)","(108, 104)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(64, 138)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(35, 139)","(172, 34)","(54, 34)","(138, 172)","(103, 130)","(65, 139)","(98, 34)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(33, 36)","(172, 69)","(103, 164)","(11, 104)","(102, 104)","(12, 139)","(172, 34)","(103, 58)","(81, 139)","(70, 69)"
108,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(43, 139)","(103, 168)","(4, 139)","(7, 104)","(49, 139)","(103, 54)","(138, 75)","(107, 104)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(64, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(34, 138)","(172, 34)","(56, 34)","(138, 172)","(103, 131)","(65, 139)","(100, 34)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(33, 35)","(172, 69)","(103, 164)","(11, 104)","(102, 104)","(12, 139)","(172, 34)","(103, 58)","(79, 139)","(70, 69)"
109,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(42, 139)","(103, 168)","(4, 139)","(7, 104)","(48, 139)","(103, 54)","(138, 76)","(107, 104)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(63, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 137)","(172, 34)","(57, 34)","(138, 172)","(103, 132)","(65, 139)","(100, 34)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(33, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 105)","(12, 139)","(172, 34)","(103, 58)","(78, 139)","(70, 69)"
110,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(41, 139)","(103, 168)","(4, 139)","(7, 104)","(47, 139)","(103, 54)","(138, 76)","(107, 104)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(63, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 136)","(172, 34)","(59, 34)","(138, 172)","(103, 134)","(65, 139)","(100, 34)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(34, 33)","(172, 69)","(103, 164)","(11, 104)","(103, 106)","(12, 139)","(172, 34)","(103, 58)","(77, 139)","(70, 69)"
111,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(40, 139)","(103, 168)","(4, 139)","(7, 104)","(46, 139)","(103, 54)","(138, 76)","(106, 104)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(61, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 135)","(172, 34)","(60, 34)","(138, 172)","(103, 135)","(65, 139)","(102, 34)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(35, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 107)","(12, 139)","(172, 34)","(103, 58)","(76, 139)","(70, 69)"
112,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(39, 139)","(103, 168)","(4, 139)","(7, 104)","(45, 139)","(103, 54)","(138, 78)","(104, 104)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(60, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 135)","(172, 34)","(61, 34)","(138, 172)","(103, 137)","(65, 139)","(103, 34)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(37, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 109)","(12, 139)","(172, 34)","(103, 58)","(75, 139)","(70, 69)"
113,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(39, 139)","(103, 168)","(4, 139)","(7, 104)","(43, 139)","(103, 54)","(138, 78)","(104, 106)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(58, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 134)","(172, 34)","(61, 34)","(138, 172)","(102, 138)","(65, 139)","(103, 35)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(37, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 110)","(12, 139)","(172, 34)","(103, 58)","(73, 139)","(70, 69)"
114,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(39, 139)","(103, 168)","(4, 139)","(7, 104)","(43, 139)","(103, 54)","(138, 80)","(103, 107)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(57, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 134)","(172, 34)","(62, 34)","(138, 172)","(101, 139)","(63, 139)","(103, 36)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(38, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 112)","(12, 139)","(172, 34)","(103, 58)","(71, 139)","(70, 69)"
115,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(38, 139)","(103, 168)","(4, 139)","(7, 104)","(42, 139)","(103, 54)","(138, 81)","(103, 108)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(55, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 132)","(172, 34)","(63, 34)","(138, 172)","(100, 139)","(61, 139)","(103, 38)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(38, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 113)","(12, 139)","(172, 34)","(103, 58)","(70, 139)","(70, 69)"
116,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(37, 139)","(103, 168)","(4, 139)","(7, 104)","(41, 139)","(103, 54)","(138, 82)","(103, 109)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(55, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 131)","(172, 34)","(64, 34)","(138, 172)","(98, 139)","(60, 139)","(103, 39)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(38, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 113)","(12, 139)","(172, 34)","(103, 58)","(69, 138)","(70, 69)"
117,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(37, 139)","(103, 168)","(4, 139)","(7, 104)","(41, 139)","(103, 54)","(138, 83)","(103, 110)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(55, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 131)","(172, 34)","(64, 34)","(138, 172)","(97, 139)","(59, 139)","(103, 40)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(38, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 114)","(12, 139)","(172, 34)","(103, 58)","(68, 137)","(70, 69)"
118,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(36, 139)","(103, 168)","(4, 139)","(7, 104)","(40, 139)","(103, 54)","(138, 85)","(103, 110)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(55, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 130)","(172, 34)","(66, 34)","(138, 172)","(96, 139)","(59, 139)","(103, 41)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(39, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 116)","(12, 139)","(172, 34)","(103, 58)","(68, 138)","(70, 69)"
119,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(34, 139)","(103, 168)","(4, 139)","(7, 104)","(39, 139)","(103, 54)","(138, 87)","(103, 111)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(54, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 130)","(172, 34)","(66, 34)","(138, 172)","(94, 139)","(58, 139)","(103, 41)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(40, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 117)","(12, 139)","(172, 34)","(103, 58)","(68, 138)","(70, 69)"
120,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(33, 138)","(103, 168)","(4, 139)","(7, 104)","(38, 139)","(103, 54)","(138, 87)","(103, 112)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(54, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 128)","(172, 34)","(66, 34)","(138, 172)","(92, 139)","(58, 139)","(103, 43)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(42, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 119)","(12, 139)","(172, 34)","(103, 58)","(66, 138)","(70, 69)"
121,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(32, 139)","(103, 168)","(4, 139)","(7, 104)","(37, 139)","(103, 54)","(138, 89)","(103, 112)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(53, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 127)","(172, 34)","(66, 34)","(138, 172)","(91, 139)","(57, 139)","(103, 44)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(43, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 119)","(12, 139)","(172, 34)","(103, 58)","(66, 139)","(70, 69)"
122,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(32, 139)","(103, 168)","(4, 139)","(7, 104)","(36, 139)","(103, 54)","(138, 90)","(103, 114)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(53, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 127)","(172, 34)","(67, 34)","(138, 172)","(91, 139)","(57, 139)","(103, 44)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(43, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 121)","(12, 139)","(172, 34)","(103, 58)","(65, 139)","(70, 69)"
123,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(32, 139)","(103, 168)","(4, 139)","(7, 104)","(36, 139)","(103, 54)","(138, 91)","(103, 116)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(52, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 126)","(172, 34)","(69, 34)","(138, 172)","(91, 139)","(57, 139)","(103, 46)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(44, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 122)","(12, 139)","(172, 34)","(103, 58)","(64, 139)","(70, 69)"
124,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(30, 139)","(103, 168)","(4, 139)","(7, 104)","(36, 139)","(103, 54)","(138, 93)","(103, 117)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(50, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 124)","(172, 34)","(69, 32)","(138, 172)","(89, 139)","(56, 139)","(103, 46)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(45, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 123)","(12, 139)","(172, 34)","(103, 58)","(64, 139)","(70, 69)"
125,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(29, 139)","(103, 168)","(4, 139)","(7, 104)","(35, 139)","(103, 54)","(138, 94)","(103, 117)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(50, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 124)","(172, 34)","(68, 32)","(138, 172)","(88, 139)","(56, 139)","(103, 46)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(47, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 124)","(12, 139)","(172, 34)","(103, 58)","(64, 139)","(70, 69)"
126,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(27, 139)","(103, 168)","(4, 139)","(7, 104)","(34, 139)","(103, 54)","(138, 95)","(103, 118)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(49, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 123)","(172, 34)","(68, 31)","(138, 172)","(86, 139)","(55, 139)","(103, 46)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(48, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 125)","(12, 139)","(172, 34)","(103, 58)","(62, 139)","(70, 69)"
127,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(26, 139)","(103, 168)","(4, 139)","(7, 104)","(34, 137)","(103, 54)","(138, 96)","(103, 119)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(48, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 122)","(172, 34)","(68, 30)","(138, 172)","(85, 139)","(54, 139)","(103, 46)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(50, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 126)","(12, 139)","(172, 34)","(103, 58)","(61, 139)","(70, 69)"
128,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(25, 139)","(103, 168)","(4, 139)","(7, 104)","(33, 137)","(103, 54)","(138, 97)","(103, 120)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(46, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 121)","(172, 34)","(68, 29)","(138, 172)","(83, 139)","(52, 139)","(103, 46)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(51, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 128)","(12, 139)","(172, 34)","(103, 58)","(60, 139)","(70, 69)"
129,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(24, 139)","(103, 168)","(4, 139)","(7, 104)","(33, 136)","(103, 54)","(138, 98)","(103, 121)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(45, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 120)","(172, 34)","(68, 29)","(138, 172)","(83, 139)","(51, 139)","(103, 46)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(51, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 130)","(12, 139)","(172, 34)","(103, 58)","(59, 139)","(70, 69)"
130,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(24, 139)","(103, 168)","(4, 139)","(7, 104)","(33, 135)","(103, 54)","(138, 100)","(103, 123)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(44, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 119)","(172, 34)","(68, 27)","(138, 172)","(82, 139)","(50, 139)","(103, 46)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(52, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 130)","(12, 139)","(172, 34)","(103, 58)","(58, 139)","(70, 69)"
131,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(24, 139)","(103, 168)","(4, 139)","(7, 104)","(33, 134)","(103, 54)","(138, 100)","(103, 125)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(43, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 118)","(172, 34)","(68, 25)","(138, 172)","(81, 139)","(49, 139)","(103, 46)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(53, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 131)","(12, 139)","(172, 34)","(103, 58)","(56, 139)","(70, 69)"
132,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(24, 139)","(103, 168)","(4, 139)","(7, 104)","(33, 133)","(103, 54)","(138, 101)","(103, 125)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(41, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 118)","(172, 34)","(68, 24)","(138, 172)","(79, 139)","(48, 139)","(103, 46)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(54, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 133)","(12, 139)","(172, 34)","(103, 58)","(55, 139)","(70, 69)"
133,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(24, 139)","(103, 168)","(4, 139)","(7, 104)","(33, 131)","(103, 54)","(138, 103)","(103, 127)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(40, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 116)","(172, 34)","(68, 23)","(138, 172)","(78, 139)","(47, 139)","(103, 46)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(55, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 133)","(12, 139)","(172, 34)","(103, 58)","(55, 139)","(70, 69)"
134,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(24, 139)","(103, 168)","(4, 139)","(7, 104)","(33, 130)","(103, 54)","(137, 104)","(103, 127)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(39, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 115)","(172, 34)","(68, 23)","(138, 172)","(78, 139)","(46, 139)","(103, 46)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(57, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 134)","(12, 139)","(172, 34)","(103, 58)","(53, 139)","(70, 69)"
135,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(24, 139)","(103, 168)","(4, 139)","(7, 104)","(33, 129)","(103, 54)","(136, 104)","(103, 129)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(38, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 115)","(172, 34)","(68, 23)","(138, 172)","(78, 139)","(46, 139)","(103, 46)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(57, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 135)","(12, 139)","(172, 34)","(103, 58)","(53, 139)","(70, 69)"
136,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(24, 139)","(103, 168)","(4, 139)","(7, 104)","(33, 127)","(103, 54)","(136, 104)","(103, 131)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(38, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 114)","(172, 34)","(68, 22)","(138, 172)","(78, 139)","(44, 139)","(103, 46)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(57, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 137)","(12, 139)","(172, 34)","(103, 58)","(52, 139)","(70, 69)"
137,"(103, 172)","(68, 0)","(33, 4)","(0, 139)","(20, 139)","(24, 139)","(103, 168)","(4, 139)","(7, 104)","(33, 126)","(103, 54)","(135, 104)","(103, 133)","(0, 104)","(16, 139)","(172, 69)","(103, 50)","(3, 104)","(37, 139)","(103, 66)","(103, 62)","(15, 104)","(103, 70)","(19, 104)","(33, 114)","(172, 34)","(68, 22)","(138, 172)","(77, 139)","(44, 139)","(103, 46)","(8, 139)","(68, 8)","(33, 0)","(172, 69)","(68, 4)","(138, 168)","(172, 34)","(172, 34)","(70, 69)","(58, 34)","(172, 69)","(103, 164)","(11, 104)","(103, 139)","(12, 139)","(172, 34)","(103, 58)","(51, 139)","(70, 69)"
